Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A novel AC UPS with high power factor and fast dynamic response,"Rodriguez, Elias; Vazquez, Nimrod; Hernandez, Claudia; Correa, Javier",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,AUG 2008,2008,55.0,8.0,,,,2963.0,2973,,10.1109/TIE.2008.918484,,,6,"0,35",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0
A Double Input DC/DC Converter for Photovoltaic/Wind Systems,"Vazquez, Nimrod; Hernandez, Alvaro; Hernandez, Claudia; Rodriguez, Elias; Orosco, Rodolfo; Arau, Jaime",,,,"2008 IEEE POWER ELECTRONICS SPECIALISTS CONFERENCE, VOLS 1-10",2008,2008,,,,,,2460.0,+,,10.1109/PESC.2008.4592310,39th IEEE Power Electronics Specialists Conference (PESC 08),"JUN 15-19, 2008",6,"0,35",0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0
Discrete State-Feedback Control Design with D-Stability and Genetic Algorithm for LED Driver Using a Buck Converter,"Osorio Sanchez, Rene; Rumbo Morales, Jesse Yoe; Ortiz Torres, Gerardo; Perez Vidal, Alan Francisco; Valdez Resendiz, Jesus Elias; Sorcia Vazquez, Felipe de Jesus; Vaquez Nava, Nimrod",,,,INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS,JUL 21 2022,2022,2022.0,,,,,,,8165149,10.1155/2022/8165149,,,5,"1,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
Modified Sandia voltage shift anti-islanding scheme for distributed power generator systems,"Vazquez, Erick; Vazquez, Nimrod; Femat, Ricardo",,,,IET POWER ELECTRONICS,DEC 24 2020,2020,13.0,18.0,,,,4226.0,4234,,10.1049/iet-pel.2020.0735,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
Multi-Input DC/DC Converter with Battery Backup for Renewable Applications,"Lara-Salazar, G.; Vazquez, N.; Hernandez, C.; Lopez, H.; Arau, J.",,,,PROCEEDINGS OF THE 2016 13TH INTERNATIONAL CONFERENCE ON POWER ELECTRONICS (CIEP),2016,2016,,,,,,47.0,51,,,13th International Conference on Power Electronics (CIEP),"JUN 20-23, 2016",5,"0,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Multifunctional Grid-Connected Photovoltaic-System Controlled by Sliding Mode,"Mendez, I.; Vazquez, N.; Vaquero, J.; Vazquez, J.; Hernandez, C.; Lopez, H.",,,,IECON 2015 - 41ST ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY,2015,2015,,,,,,1339.0,1344,,,41st Annual Conference of the IEEE-Industrial-Electronics-Society (IECON),"NOV 09-12, 2015",5,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0
CAN Bus Embedded System for Lighting Network Applications,"Diaz, Javier; Rodriguez, Elias; Hurtado, Luis; Cacique, Hugo; Vazquez, Nimrod; Ramirez, Agustin",,,,"2008 51ST MIDWEST SYMPOSIUM ON CIRCUITS AND SYSTEMS, VOLS 1 AND 2",2008,2008,,,,,,531.0,534,,10.1109/MWSCAS.2008.4616853,51st Midwest Symposium on Circuits and Systems,"AUG 10-13, 2008",5,"0,29",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0
Analysis and evaluation of control techniques for active power filters:: Sliding mode control and proportional-integral control.,"Cárdenas, VM; Nuñez, C; Vázquez, N",,,,"APEC'99: FOURTEENTH ANNUAL APPLIED POWER ELECTRONICS CONFERENCE AND EXPOSITION, CONFERENCE PROCEEDINGS, VOLS 1 & 2",1999,1999,,,,,,649.0,654,,10.1109/APEC.1999.749763,14th Annual Applied Power Electronics Conference and Exposition (APEC 99),"MAR 14-18, 1999",5,"0,19",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0
Floating Interleaved Boost Converter with Zero-Ripple Input Current Using Variable Inductor,"Hidalgo, Hector; Vazquez, Nimrod; Orosco, Rodolfo; Huerta-Avila, Hector; Pinto, Sergio; Estrada, Leonel",,,,TECHNOLOGIES,FEB 2023,2023,11.0,1.0,,,,,,21,10.3390/technologies11010021,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
An Overview on Fault Management for Electric Vehicle Onboard Chargers,"Gaona-Cardenas, Luis-Fernando; Vazquez-Nava, Nimrod; Ruiz-Martinez, Omar-Fernando; Espinosa-Calderon, Alejandro; Barranco-Gutierrez, Alejandro-Israel; Rodriguez-Licea, Martin-Antonio",,,,ELECTRONICS,APR 2022,2022,11.0,7.0,,,,,,1107,10.3390/electronics11071107,,,4,"1,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
A Transformerless Single-Phase Current Source Inverter Topology and Control for Photovoltaic Applications,"Cardoso, Jorge; Vazquez, Nimrod; Hernandez, Claudia; Vaquero, Joaquin",,,,ENERGIES,AUG 2018,2018,11.0,8.0,,,,,,2011,10.3390/en11082011,,,4,"0,57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Nonlinear robust control of a machine to make thin films,"Huerta, Hector; Osorio, Rene; Vazquez, Nimrod",,,,REVISTA IBEROAMERICANA DE AUTOMATICA E INFORMATICA INDUSTRIAL,JUL-SEP 2017,2017,14.0,3.0,,,,246.0,255,,10.1016/j.riai.2017.04.002,,,4,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
Multiple-Output DC-to-DC based on the Flyback Converter,"Vazquez, N.; Lopez, H.; Hernandez, C.; Calleja, H.",,,,PROCEEDINGS OF THE 11TH IEEE INTERNATIONAL CONFERENCE ON POWER ELECTRONICS,2008,2008,,,,,,105.0,+,,10.1109/CIEP.2008.4653820,11th IEEE Workshop on Computers in Power Electronics,"AUG 24-27, 2008",4,"0,24",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
A Fast AC Voltage Regulator,"Vazquez, N.; Velazquez, A.; Hernandez, C.; Rodriguez, E.; Orosco, R.",,,,PROCEEDINGS OF THE 11TH IEEE INTERNATIONAL CONFERENCE ON POWER ELECTRONICS,2008,2008,,,,,,162.0,166,,10.1109/CIEP.2008.4653834,11th IEEE Workshop on Computers in Power Electronics,"AUG 24-27, 2008",4,"0,24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
